Company,Founded In,Current Status,Sector,Val_inCr,fun_inCr,Headquarters,Operating Revenue (FY23),Operating Revenue (FY22),Loss/ Profit (FY23),Loss/ Profit (FY22),Employee Benefit (FY23),Employee Benefit (FY22),Advertisement Spends (FY23),Advertisement Spend (FY22),Years to Unicorn,,,,,,,,
MobiKwik,2009,IPO-Bound,Fintech,150,183.7,Delhi-NCR,539,526.5,-83.8,-128.1,98.2,107.2,4.4,8.4,12.2,,,,,,,,
ShareChat,2015,Private Limited,Media & Entertainment,370,140,Bengaluru,552.7,346.9,-5144.2,-2988.6,697.9,505.1,0,0,6.3,,,,,,,,
Delhivery,2011,IPO-Bound,Logistics,500,140,Delhi-NCR,7225.3,6882.2,-1007.7,-1011,1400,1313.2,,,7.8,,,,,,,,
Udaan,2016,Private Limited,Ecommerce,310,150,Bengaluru,5609.3,9897.3,-2075.9,-3123.4,996.2,1203.5,40,68.4,3.2,,,,,,,,
PhonePe,2015,Subsidiary,Fintech,550,170,Bengaluru,2913.7,1646.2,-2795.3,-2013.7,3096,1741,671.3,866.2,6,,,,,,,,
Snapdeal,2007,Private Limited,Ecommerce,100,180,Delhi-NCR,372,539.6,-282.2,-510.3,307.5,284.6,92,321.8,6.7,,,,,,,,
Darwinbox,2015,Private Limited,Enterprisetech,100,107,Hyderabad,224.04,116.7,-158.25,-66,222,103.5,21.6,5.05,6.2,,,,,,,,
Mamaearth,2016,Private Limited,Ecommerce,110,111,Delhi-NCR,1492.7,943.4,-150.9,14.4,164.8,78.8,530.2,391.4,5.3,,,,,,,,
Nykaa,2012,Listed,Ecommerce,1110,148.5,Mumbai,5143.8,3773.9,20.9,41.2,491.7,326.4,,,7.9,,,,,,,,
Pristyn Care,2018,Private Limited,Healthtech,140,177,Delhi-NCR,452.8,312.7,-382.5,-277.1,198.5,146.3,219.9,187.8,3.3,,,,,,,,
Apna,2019,Private Limited,Enterprisetech,110,193.5,Bengaluru,224.04,63.8,-120.3,-112.5,203.7,77.8,62,86,2.4,,,,,,,,
Paytm,2000,Listed,Fintech,530,240,Delhi-NCR,7990.3,4974.2,-1776.5,-2396.4,3778.3,2431.9,951.6,790.7,14.1,,,,,,,,
Zomato,2008,Listed,Consumer Services,860,250,Delhi-NCR,7079.4,4192.4,-971,-1222.5,1465,1633.1,1227.4,1216.8,8.7,,,,,,,,
Oxyzo,2016,Private Limited,Fintech,100,200,Delhi NCR,570,313,197.5,69.3,78,45.8,,,5.5,,,,,,,,
MENSA Brands,2021,Private Limited,Ecommerce,120,218,Bengaluru,499.6,210.4,-227,-96.6,91.5,30.5,29.8,9,,,,,,,,,
OYO,2012,IPO-Bound,Travel Tech,960,310,Delhi-NCR,5463.9,4781.3,-1286.5,-1941.5,1548.8,1861.7,,,6.6,,,,,,,,
UpGrad,2015,Private Limited,Edtech,120,351.6,Mumbai,1169.6,595,-1141.5,-648.2,707.4,393.7,371.4,403.7,6,,,,,,,,
Gupshup,2004,Private Limited,Enterprisetech,140,384.1,Mumbai,1618.5,1132.1,49.2,39.9,213.2,110.6,0,0,17,,,,,,,,
Groww,2016,Private Limited,Fintech,300,393.3,Bengaluru,1277.8,350.9,448.7,-239,286.7,229.8,243.8,254,4.9,,,,,,,,
ElasticRun,2016,Private Limited,Logistics,150,435,Pune,4754.8,3812.6,-618.8,-358.5,345.2,200.7,,,7.9,,,,,,,,
Urban Company,2014,Private Limited,Consumer Services,280,446,Delhi-NCR,636.5,437.5,-312.4,-514.1,377,443.8,258.8,228.1,6.4,,,,,,,,
Moglix,2015,Private Limited,Ecommerce,230,472.2,Delhi-NCR,4675.4,2560,-196.6,-175.7,295.2,217.7,,,6,,,,,,,,
Licious,2015,Private Limited,Ecommerce,100,489,Bengaluru,747.7,682.5,-528.5,-855.6,239.9,209.5,128.5,169.8,6.4,,,,,,,,
Info Edge,1995,Listed,Consumer Services,820,51,Delhi-NCR,2345.7,1589,-70.4,1288.2,1097.3,746.3,408.2,286,19,,,,,,,,
Xpressbees,2015,Private Limited,Logistics,120,578,Pune,2531.5,1904.4,-180.4,-27.1,322.9,185.7,15.3,8.8,6.5,,,,,,,,
Uniphore,2008,Private Limited,Enterprisetech,250,621,Chennai,488.4,674.6,142.7,33.4,143.9,330.6,0,0,13.8,,,,,,,,
Fractal,2000,Private Limited,Enterprisetech,100,685,Mumbai,1985.4,1295.3,194.4,-148.4,1767.2,1107.9,0,0,21,,,,,,,,
